DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
Percalux Azul Noturno 180g/m2 Bob 1400 mm,21,09/01/2024,03/01/2024,03/01/2024,09/01/2024,09/01/2024,13958,Jafi Decorações,367.5,0,0,Projeto,Cartão,1,17.5,METROS,Sintéticos,COURO
Papelao Kraft 625g/m2 800 x 1000 - Himasa,50,14/12/2023,29/11/2023,08/01/2024,16/01/2024,11/01/2024,AV677,Belo Plástico,483,0,0,Gomes,Cartão,6,9.66,FOLHAS,Papelão,PAPELAO
20378 WIRE-O - BOBINA PRETAUNICA-9/16,6,08/01/2024,04/12/2023,04/01/2024,05/01/2024,08/01/2024,197995,Lassane,2830.56,333.97,367.8,Flora,Boleto,3,471.76,CAIXAS,Wire-o,WIRE-O
Percalux Azul Noturno 180g/m2 Bob 1400 mm,30,03/01/2024,27/12/2023,27/12/2023,03/01/2023,03/01/2024,13933,Jafi Decorações,525,0,0,Projeto,Cartão,2,17.5,METROS,Sintéticos,COURO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,20,03/01/2024,27/12/2023,21/12/2023,03/01/2023,03/01/2024,13933,Jafi Decorações,350,0,0,Projeto,Cartão,2,17.5,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-1,4,12/01/2024,03/01/2024,08/01/2024,09/01/2024,12/01/2024,198119,Lassane,1162.72,232.84,162.19,Elohim,Boleto,3,290.68,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,345.93,55.7,45.19,Elohim,Boleto,3,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,453.26,72.99,60.78,Elohim,Boleto,3,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,323.33,52.06,44.05,Elohim,Boleto,3,323.33,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,1,15/01/2024,04/01/2024,12/01/2024,15/01/2024,16/01/2024,198391,Lassane,333.91,53.77,46.52,Elohim,Boleto,3,333.91,CAIXAS,Wire-o,WIRE-O
MP004 ILHOS Nº 54PRETO-U,10000,15/01/2024,04/01/2024,18/01/2024,23/01/2024,26/01/2024,2869,Parco Comércio e Serviços,245.9,0,44.26,Projeto,Boleto,3,0.02,UNIDADES,Aviamentos,ILHOS
Saco Adesivado 20x25 - Wire-o A5,10000,15/01/2024,04/01/2024,30/01/2024,31/01/2024,05/02/2024,189502,Interpel R4,1690,15,0,Projeto,Cartão,3,0.17,UNIDADES,Embalagens,SACO ADESIVADO
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,100,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,9.99,0,1.08,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Turquesa - Cód. 47 Kit-4MM,200,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,19.98,0,2.16,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,100,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,9.99,0,1.08,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,100,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,9.99,0,1.08,Projeto,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP003 ELASTICO Nº 12Dourado - São José-U,950,15/01/2024,05/01/2024,10/01/2024,11/01/2024,17/01/2024,984934,DSJ Londrina,721.24,16.35,88.51,Gomes,Cartão,3,0.76,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,200,15/01/2024,05/01/2024,09/01/2024,12/01/2024,12/01/2024,85466,Castro e Castro,128.8,0,8.62,Projeto,Boleto,3,0.64,METROS,Aviamentos,ELASTICO
Papelao 1250 g/m2 1.5mm - 800 x 1000,1500,01/02/2024,08/01/2024,09/01/2024,05/02/2024,14/02/2024,36185,Papelão União,6637.08,506.47,775.95,Flora,Boleto,4,4.42,FOLHAS,Papelão,PAPELAO
Papelao 1250 g/m2 1.9mm - 700 x 1100 H25,6000,01/02/2024,08/01/2024,09/01/2024,05/02/2024,14/02/2024,36185,Papelão União,31881.45,2432.84,3976.72,Flora,Boleto,4,5.31,FOLHAS,Papelão,PAPELAO
MP003 ELASTICO Nº 12Verde Limão - São José-U,10,15/01/2024,08/01/2024,15/01/2023,15/01/2024,15/01/2024,26680,V P Ribeiro de Souza,14.9,15.9,0,Projeto,Cartão,1,1.49,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Dourado - São José-U,250,15/01/2024,05/01/2024,15/01/2024,17/01/2024,18/01/2024,67777,Comercial Maluli,217,35.73,30.33,Gomes,Cartão,1,0.87,METROS,Aviamentos,ELASTICO
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,1,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,345.93,36.94,44.46,Asaliah,Boleto,3,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,2,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,691.86,73.94,88.93,Asaliah,Boleto,3,345.93,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-5/8,2,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,906.51,96.03,116.52,Asaliah,Boleto,3,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,2,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,906.51,96.03,116.52,Asaliah,Boleto,3,453.26,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,3,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,969.98,102.75,124.67,Asaliah,Boleto,3,323.33,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,6,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,1939.96,205.5,249.35,Asaliah,Boleto,3,323.33,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,6,02/02/2024,25/01/2024,28/01/2024,30/01/2024,02/02/2024,199262,Lassane,2036.92,215.77,261.82,Asaliah,Boleto,3,339.49,CAIXAS,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Azul Marinho - São José-U,1800,02/02/2024,25/01/2024,30/01/2024,05/02/2024,06/02/2024,147317,Fábrica de Elásicos São José,743.94,100,89.27,Projeto,Boleto,3,0.41,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,2000,02/02/2024,25/01/2024,30/01/2024,05/02/2024,06/02/2024,147317,Fábrica de Elásicos São José,826.6,100,99.19,Projeto,Boleto,3,0.41,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,500,02/02/2024,25/01/2024,30/01/2024,02/02/2024,02/02/2024,884197,Parco Comércio e Serviços,49.95,0,8.99,Gomes,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,600,02/02/2024,25/01/2024,30/01/2024,02/02/2024,02/02/2024,884197,Parco Comércio e Serviços,59.94,0,10.79,Gomes,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
20336 FERRAGEM A5UNICA-U,2000,02/02/2024,25/01/2024,28/01/2024,28/01/2024,02/02/2024,3052,Naxan,6594,98.35,0,Asaliah,Boleto,3,3.3,UNIDADES,Wire-o,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,3000,02/02/2024,25/01/2024,28/01/2024,28/01/2024,02/02/2024,3052,Naxan,9510,141.85,0,Asaliah,Boleto,3,3.17,UNIDADES,Wire-o,FERRAGEM
Papelao 1250 g/m2 1.9mm - 700 x 1100 H25,6000,29/02/2024,25/01/2024,28/01/2024,05/02/2024,28/02/2024,36184,Papelão União,31881.45,2211.16,3974.71,Asaliah,Boleto,4,5.31,UNIDADES,Papelão,PAPELAO
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,300,02/02/2024,25/01/2024,28/01/2024,30/01/2024,16/02/2024,24616,Buritama Sintéticos,3570.39,119.14,414.96,Elohim,Boleto,3,11.9,METROS,Sintéticos,COURO
Percalux Verde Pinho 180g/m2 Bob 1400 mm,30,01/02/2024,26/01/2024,29/01/2024,01/02/2024,29/01/2024,14024,Centrão dos Plásticos,525,0,0,Projeto,Cartão,1,17.5,METROS,Sintéticos,COURO
Pendente Metalicos 30cm Preto,500,02/02/2024,29/01/2024,01/02/2024,02/02/2024,05/01/2024,199458,Lassane,154.97,25.4,32.4,Asaliah,Boleto,3,0.31,UNIDADES,Resto,PENDENTE
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,200,05/02/2024,29/01/2024,30/01/2024,02/02/2024,02/02/2024,884197,Parco Comércio e Serviços,19.98,0,3.6,Gomes,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,100,05/02/2024,29/01/2024,30/01/2024,02/02/2024,02/02/2024,884197,Parco Comércio e Serviços,9.95,0,1.79,Gomes,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
20381 WIRE-O - BOBINA PRATAUNICA-7/8,4,07/02/2024,30/01/2024,01/02/2024,02/02/2024,05/01/2024,199458,Lassane,1335.64,212.05,,Asaliah,Boleto,3,333.91,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,2,07/02/2024,30/01/2024,01/02/2024,07/02/2024,05/02/2024,199629,Lassane,671.08,80,90.01,Asaliah,Boleto,3,335.54,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,2,26/02/2024,20/02/2024,29/02/2024,27/02/2024,29/02/2024,200525,Lassane,646.65,142.84,91.76,Asaliah,Boleto,1,323.33,CAIXAS,Wire-o,WIRE-O
MP115 Percalux Areia 33 180g/m2 Bob 1400 mmUNICA-U,8,23/02/2024,20/02/2024,21/02/2024,22/02/2024,23/02/2024,14066,Jafi Decorações,140,0,0,Gomes,Cartão,1,17.5,METROS,Sintéticos,COURO
MP001 FITA DE CETIM Nº0 4MMBranco - Cód. 01 Kit-4MM,100,26/02/2024,20/02/2024,21/02/2024,23/02/2024,27/02/2024,88786,Castro e Castro,9.99,0,1.08,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
20378 WIRE-O - BOBINA PRETAUNICA-7/8,9,15/03/2024,20/02/2024,08/03/2024,11/03/2024,14/03/2024,201079,Lassane,2818.35,359.61,102.76,Flora,Boleto,4,313.15,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,1,15/03/2024,20/02/2024,08/03/2024,11/03/2024,14/03/2024,201079,Lassane,313.15,39.36,11.42,Flora,Boleto,4,313.15,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,1,15/03/2024,20/02/2024,08/03/2024,11/03/2024,14/03/2024,201079,Lassane,323.4,40,11.79,Flora,Boleto,4,323.4,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,5,15/03/2024,20/02/2024,08/03/2024,11/03/2024,14/03/2024,201079,Lassane,2194.95,280.06,80.03,Flora,Boleto,4,438.99,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-9/16,2,15/03/2024,20/02/2024,08/03/2024,11/03/2024,14/03/2024,201079,Lassane,913.82,116.6,33.32,Flora,Boleto,4,456.91,CAIXAS,Wire-o,WIRE-O
20337 FERRAGEM 17X24UNICA-U,2000,22/03/2024,20/02/2024,15/03/2024,18/03/2024,22/03/2024,3248,Naxan,6340,126.91,0,Flora,Boleto,3,3.17,UNIDADES,Wire-o,FERRAGEM
20336 FERRAGEM A5UNICA-U,2000,22/03/2024,20/02/2024,15/03/2024,18/03/2024,22/03/2024,3248,Naxan,6594,131.99,0,Flora,Boleto,3,3.3,UNIDADES,Wire-o,FERRAGEM
Papelao Kraft 625g/m2 800 x 1000 - Himasa,1000,22/03/2024,20/02/2024,05/03/2024,22/03/2024,22/03/2024,31117,Heidrich,8794.75,690.96,1022.4,Projeto,Boleto,3,8.79,FOLHAS,Papelão,PAPELAO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,50,08/03/2024,20/02/2024,01/03/2024,05/03/2024,08/03/2024,4552,Belo Plástico,1058.4,0,0,Gomes,Cartão,6,21.17,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Azul Bebê - São José-U,300,08/03/2024,20/02/2024,22/02/2024,23/02/2024,08/03/2024,147878,Fábrica de Elásicos São José,123.99,42,14.88,Projeto,Boleto,3,0.41,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Dourado - São José-U,2000,08/03/2024,20/02/2024,22/02/2024,23/02/2024,08/03/2024,147878,Fábrica de Elásicos São José,1132.4,215,135.89,Projeto,Boleto,3,0.57,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,2000,08/03/2024,20/02/2024,22/02/2024,23/02/2024,08/03/2024,147878,Fábrica de Elásicos São José,826.6,35,99.19,Projeto,Boleto,3,0.41,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,200,08/03/2024,20/02/2024,22/02/2024,23/02/2024,08/02/2024,147878,Fábrica de Elásicos São José,82.66,25,9.92,Projeto,Boleto,3,0.41,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,200,08/03/2024,20/02/2024,09/01/2024,05/03/2024,08/03/2024,3025,Parco Comércio e Serviços,109.55,0,19.72,Projeto,Cartão,1,0.55,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMPrata - Cód. 179 Kit-4MM,100,11/03/2024,20/02/2024,21/02/2024,23/02/2024,27/02/2024,88786,Castro e Castro,9.99,0,1.08,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,400,26/02/2024,20/02/2024,21/02/2024,23/02/2024,27/02/2024,88786,Castro e Castro,39.96,0,4.32,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,2000,26/02/2024,20/02/2024,21/02/2024,23/02/2024,27/02/2024,88786,Castro e Castro,199.8,0,21.58,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,200,11/03/2024,20/02/2024,21/02/2024,21/02/2024,23/02/2024,886349,Parco Comércio e Serviços,25.98,0,4.68,Gomes,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,100,11/03/2024,20/02/2024,21/02/2024,23/02/2024,27/02/2024,88786,Castro e Castro,9.99,0,1.08,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,1000,11/03/2024,20/02/2024,21/02/2024,23/02/2024,27/02/2024,88786,Castro e Castro,99.9,0,10.79,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
Percalux Cinza Granito 180g/m2 Bob 1400 mm,7,23/02/2024,21/02/2024,22/01/2024,22/02/2024,23/02/2024,14066,Jafi Decorações,122.5,0,0,Gomes,Cartão,1,17.5,METROS,Sintéticos,COURO
MP001 FITA DE CETIM Nº0 4MMRoxo - Cód. 34 Kit-4MM,20,01/03/2024,21/02/2024,21/02/2024,21/02/2024,23/02/2024,886349,Parco Comércio e Serviços,13,0,2.34,Gomes,Cartão,1,0.65,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,500,22/02/2024,21/02/2024,28/02/2024,29/02/2024,01/03/2024,89278,Castro e Castro,49.95,0,5.39,Elohim,Boleto,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,300,22/02/2024,21/02/2024,21/02/2024,23/02/2024,23/02/2024,886349,Parco Comércio e Serviços,38.97,0,7.01,Gomes,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,200,22/02/2024,21/02/2024,26/02/2024,26/02/2024,26/02/2024,886588,Parco Comércio e Serviços,26,0,4.68,Gomes,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP003 ELASTICO Nº 12Branco - São José-U,200,26/02/2024,23/02/2024,26/02/2024,26/02/2024,26/02/2024,886588,Parco Comércio e Serviços,89.85,0,16.17,Gomes,Cartão,1,0.45,METROS,Aviamentos,ELASTICO
MP121 Percalux Branco 180g/m2 Bob 1400 mmUNICA-U,13,04/03/2024,26/02/2024,28/02/2024,29/02/2024,11/03/2024,19503,Kariplast,650,75,0,Gomes,Boleto,2,50,METROS,Sintéticos,COURO
Percalux Amarelo Ouro Velho 180g/m2 Bob 1400 mm,10,28/02/2024,28/02/2024,28/02/2024,29/02/2024,04/03/2024,19503,Kariplast,650,75,0,Gomes,Boleto,2,65,METROS,Sintéticos,COURO
Papelao 1250 g/m2 1.9mm - 700 x 1100 H25,6000,22/04/2024,29/02/2024,04/03/2024,16/04/2024,22/04/2024,36786,Papelão União,30685.88,2382.96,3837.03,Natural,Boleto,4,5.11,FOLHAS,Papelão,PAPELAO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,800,07/03/2024,01/03/2024,04/03/2024,05/03/2024,11/03/2024,34018,DSJ Londrina,443.2,12.69,55.4,Projeto,Cartão,3,0.55,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,300,07/03/2024,04/03/2024,04/03/2024,05/03/2024,11/03/2024,34018,DSJ Londrina,166.2,12.69,20.77,Projeto,Cartão,3,0.55,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMLaranja - Cód. 25 Kit-4MM,100,15/03/2024,12/03/2024,12/03/2024,12/03/2024,12/03/2024,888152,Parco Comércio e Serviços,12.99,0,2.34,Gomes,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
Percalux Cinza Granito 180g/m2 Bob 1400 mm,11,15/03/2024,14/03/2024,14/03/2024,15/03/2024,18/03/2024,14116,Jafi Decorações,192.5,0,0,Gomes,Cartão,3,17.5,METROS,Sintéticos,COURO
MP126 Percalux Preto 180g/m2 Bob 1300 mmUNICA-U,100,15/03/2024,14/03/2024,14/03/2024,15/03/2024,18/03/2024,14116,Jafi Decorações,3500,0,0,Gomes,Cartão,3,35,METROS,Sintéticos,COURO
Percalux Verde Musgo 180g/m2 Bob 1400 mm,9,15/03/2024,14/03/2024,14/03/2024,15/03/2024,18/03/2024,14116,Jafi Decorações,140,0,0,Gomes,Cartão,3,15.56,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,30,15/03/2024,14/03/2024,15/03/2024,15/03/2024,15/03/2024,379757,Parco Comércio e Serviços,17.97,0,3.23,Projeto,Cartão,1,0.6,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,270,18/03/2024,14/03/2024,15/03/2024,15/03/2024,15/03/2024,563709,Tecidos e Armarinhos 253,161.73,0,29.11,Projeto,Cartão,1,0.6,METROS,Aviamentos,ELASTICO
MP132 Percalux Verde Bandeira 180g/m2 Bob 1400 mmUNICA-U,20,18/03/2024,14/03/2024,14/03/2024,15/03/2024,18/03/2024,14116,Jafi Decorações,350,0,0,Gomes,Cartão,3,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,190,18/03/2024,15/03/2024,16/03/2024,16/03/2024,16/03/2024,97478,Malharia Alto,130.65,0,0,Gomes,Pix,1,0.69,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,200,19/03/2024,19/03/2024,18/03/2024,18/03/2024,18/03/2024,83736,Malharia Alto,129.9,25,0,Gomes,Pix,1,0.65,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMLaranja - Cód. 25 Kit-4MM,100,21/03/2024,20/03/2024,21/03/2024,21/03/2024,21/03/2024,889087,Parco Comércio e Serviços,9.99,0,2,Projeto,Dinheiro,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,100,20/03/2024,19/03/2024,21/03/2024,21/03/2024,21/03/2024,889087,Parco Comércio e Serviços,9.99,0,2,Projeto,Dinheiro,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,200,25/03/2024,25/03/2024,18/03/2024,18/03/2024,25/03/2024,888785,Parco Comércio e Serviços,39.8,0,7.16,Gomes,Cartão,1,0.2,METROS,Aviamentos,FITA DE CETIM
20381 WIRE-O - BOBINA PRATAUNICA-7/8,2,27/03/2024,25/03/2024,20/03/2024,20/03/2024,27/03/2024,201506,Lassane,646.8,159.2,96.12,Flora,Boleto,1,323.4,CAIXAS,Wire-o,WIRE-O
MP004 ILHOS Nº 54PRETO-U,10000,10/04/2024,26/03/2024,26/03/2024,28/03/2023,02/04/2024,91073,Castro e Castro,245.9,0,26.82,Elohim,Boleto,3,0.02,UNIDADES,Aviamentos,ILHOS
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,03/05/2024,30/04/2024,02/05/2024,03/05/2024,07/05/2024,203093,Lassane,335.04,48.33,11.74,Natural,Boleto,4,335.04,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,3,03/05/2024,30/04/2024,02/05/2024,03/05/2024,07/05/2024,203093,Lassane,1316.97,189.58,44.48,Natural,Boleto,4,438.99,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,4,15/05/2024,30/04/2024,15/05/2024,13/05/2024,15/05/2024,203418,Lassane,1252.6,181.95,46.37,Bela,Boleto,4,313.15,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,7,03/05/2024,30/04/2024,02/05/2024,03/05/2024,07/05/2024,203093,Lassane,2192.05,315.51,72.03,Natural,Boleto,4,313.15,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,2,03/05/2024,30/04/2024,02/05/2024,03/05/2024,07/05/2024,203093,Lassane,646.8,93.12,21.43,Natural,Boleto,4,323.4,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-9/16,2,03/05/2024,30/04/2024,02/05/2024,03/05/2024,07/05/2024,203093,Lassane,913.82,134.5,51.32,Natural,Boleto,4,456.91,CAIXAS,Wire-o,WIRE-O
20336 FERRAGEM A5UNICA-U,1406,06/05/2024,30/04/2024,03/05/2024,06/05/2024,10/05/2024,10406,US Rings,4170,200,166.8,Elohim,Boleto,3,2.97,UNIDADES,Wire-o,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,3000,06/05/2024,30/04/2024,03/05/2024,03/05/2024,10/05/2024,3397,Naxan,9510,189.27,0,Natural,Boleto,3,3.17,UNIDADES,Wire-o,FERRAGEM
MP115 Percalux Areia 33 180g/m2 Bob 1400 mmUNICA-U,12,30/04/2024,30/04/2024,29/04/2024,29/04/2024,29/04/2024,14244,Jafi Decorações,210,0,0,Gomes,Cartão,1,17.5,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,15/05/2024,30/04/2024,15/05/2024,16/05/2024,15/05/2024,203418,Lassane,335.04,48.37,12.4,Bela,Boleto,4,335.04,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,2,15/05/2024,30/04/2024,15/05/2024,13/05/2024,15/05/2024,203418,Lassane,877.98,126.75,32.5,Bela,Boleto,4,438.99,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,4,15/05/2024,30/04/2024,15/05/2024,13/05/2024,15/05/2024,203418,Lassane,1252.6,180.84,46.37,Bela,Boleto,4,313.15,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-9/16,9,15/05/2024,30/04/2024,15/05/2024,13/05/2024,15/05/2024,203418,Lassane,4112.19,593.67,152.23,Bela,Boleto,4,456.91,CAIXAS,Wire-o,WIRE-O
20336 FERRAGEM A5UNICA-U,2000,15/05/2024,02/05/2024,09/05/2024,13/05/2024,16/05/2024,10411,US Rings,6217.47,200,233.52,Elohim,Boleto,3,3.11,UNIDADES,Wire-o,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,1000,15/05/2024,02/05/2024,09/05/2024,10/05/2024,16/05/2024,3417,Naxan,3170,195.8,0,Bela,Boleto,3,3.17,UNIDADES,Wire-o,FERRAGEM
20336 FERRAGEM A5UNICA-U,574,06/05/2024,02/05/2024,02/05/2024,03/05/2024,10/05/2024,3397,Naxan,1802.36,37.47,0,Natural,Boleto,3,3.14,UNIDADES,Wire-o,FERRAGEM
Saco Adesivado 22x32 - Colegial/ArgoladoA5,6000,08/05/2024,03/05/2024,06/05/2024,06/05/2024,07/05/2024,12328,Interpel R4,1500,15,0,Projeto,Cartão,5,0.25,UNIDADES,Embalagens,SACO ADESIVADO
Saco Adesivado 20x25 - Wire-o A5,1500,08/05/2024,03/05/2024,06/05/2024,07/05/2024,07/05/2024,941,Prodesc Benfica Embalagens Ltda Me,450,0,0,Projeto,Cartão,1,0.3,UNIDADES,Embalagens,SACO ADESIVADO
MP003 ELASTICO Nº 12Marrom - São José-U,650,08/05/2024,03/05/2024,06/05/2024,06/05/2024,13/05/2024,90923,DSJ Londrina,360.1,58.27,50.2,Projeto,Cartão,3,0.55,METROS,Aviamentos,ELASTICO
MP119 Percalux Azul Royal 180g/m2 Bob 1300 MM - JAFIRUNICA-U,100,09/05/2024,06/05/2024,07/05/2024,08/05/2024,10/05/2024,14272,Jafi Decorações,1750,0,0,Projeto,Cartão,3,17.5,METROS,Sintéticos,COURO
