DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,10,22/07/2025,11/07/2025,15/07/2025,18/07/2025,25/07/2025,306512,Magma,327.74,81.74,29.52,Universo,Pix,1,32.77,METROS,Sintéticos,COURO
SACO ADESIVADO 15X21,2500,21/07/2025,16/07/2025,22/07/2025,22/07/2025,22/07/2025,10588,Brumar Comercio de Embalagens Ltda,412.5,0,0,Bela,Boleto,1,0.17,UNIDADES,Embalagens,SACO ADESIVADO
Saco Adesivado 15x15 - Calendario Mesa,1500,28/07/2025,18/07/2025,22/07/2025,23/07/2025,23/07/2025,2842,Jofer Benfica Embalagens Ltda,225,0,0,Asaliah,Cartão,1,0.15,UNIDADES,Embalagens,SACO ADESIVADO
MP126 Percalux Preto 180g/m2 Bob 1300 mmUNICA-U,50,30/07/2025,23/07/2025,23/07/2025,28/07/2025,30/07/2025,15790,Jafi Decorações,875,0,0,Asaliah,Cartão,3,17.5,METROS,Sintéticos,COURO
Saco Adesivado 15x15 - Calendario Mesa,4500,28/07/2025,18/07/2025,25/07/2025,29/07/2025,30/07/2025,2871,Jofer Benfica Embalagens Ltda,675,0,0,Asaliah,Cartão,1,0.15,UNIDADES,Embalagens,SACO ADESIVADO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,40,04/08/2025,23/07/2025,25/07/2025,31/07/2025,04/08/2025,306876,Magma,1214.36,94.36,134.4,Universo,Pix,1,30.36,METROS,Sintéticos,COURO
20382 WIRE-O - BOBINA DOURADAUNICA-1,10,04/08/2025,23/07/2025,25/07/2025,30/07/2025,04/08/2025,23452,Spiralteck,4026.81,309.01,432.07,Universo,Boleto,4,402.68,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-1,10,04/08/2025,23/07/2025,28/07/2025,30/07/2025,04/08/2025,223561,Lassane,3119.07,306.77,404.11,Bruniel,Boleto,3,311.91,CAIXAS,Wire-o,WIRE-O
20382 WIRE-O - BOBINA DOURADAUNICA-3/4,2,04/08/2025,23/07/2025,25/07/2025,30/07/2025,04/08/2025,23452,Spiralteck,1349.06,92.7,97.42,Universo,Boleto,4,674.53,CAIXAS,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Dourado - São José-U,800,22/08/2025,23/07/2025,25/07/2025,28/07/2025,22/08/2025,128440,Comercial Maluli,730.52,0,87.66,Universo,Cartão,6,0.91,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,300,22/08/2025,23/07/2025,25/07/2025,29/07/2025,22/08/2025,589046,DSJ Londrina,224.98,14.2,27,Natural,Cartão,3,0.75,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,100,04/08/2025,23/07/2025,24/07/2025,24/07/2025,25/07/2025,97601,Parco Comércio e Serviços,9.99,0,0,Asaliah,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
20346 PEVECRON - CEDRO VERMELHO 180G/M2 BOB 1400 MMUNICA-U,40,04/08/2025,23/07/2025,25/07/2025,29/07/2025,04/08/2025,51342,Brazão Jóia do Brás Comércio Têxtil Ltda,725.91,87.91,25.52,Universo,Cartão,3,18.15,METROS,Sintéticos,COURO
MP002 FITA DE CETIM Nº1 7MMRosa Bebê - Cód. 04 Kit-7MM,600,28/07/2025,24/07/2025,24/07/2025,24/07/2025,25/07/2025,97601,Parco Comércio e Serviços,59.94,0,0,Asaliah,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
